Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2021,DC,District of Columbia,District of Columbia,11001,11001009903,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,29.6,,,26.0,33.5,2004,1522,POINT (-76.9212121 38.888318),11001009903,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2022,DC,District of Columbia,District of Columbia,11001,11001001301,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,8.1,,,7.0,9.1,4160,3452,POINT (-77.0520508 38.9519215),11001001301,HLTHSTAT,GHLTH,CrdPrv,General Health
2022,DC,District of Columbia,District of Columbia,11001,11001009901,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.6,,,9.4,11.7,2364,1967,POINT (-76.9553332 38.8753461),11001009901,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2022,DC,District of Columbia,District of Columbia,11001,11001009803,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,20.6,,,17.2,24.2,2968,2233,POINT (-77.0043421 38.8356929),11001009803,HLTHOUT,DEPRESSION,CrdPrv,Depression
2022,DC,District of Columbia,District of Columbia,11001,11001003301,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,30.8,,,25.6,36.3,3824,3325,POINT (-77.0114293 38.9204778),11001003301,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration
2022,DC,District of Columbia,District of Columbia,11001,11001011002,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,8.4,,,7.3,9.6,1859,1791,POINT (-77.0182455 38.8681789),11001011002,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking
2021,DC,District of Columbia,District of Columbia,11001,11001004402,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,22.9,,,19.8,26.4,2755,2485,POINT (-77.0270354 38.9155152),11001004402,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2021,DC,District of Columbia,District of Columbia,11001,11001008701,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,67.3,,,64.3,70.2,2814,2404,POINT (-77.0062645 38.9141018),11001008701,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication
2021,DC,District of Columbia,District of Columbia,11001,11001006801,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,67.9,,,64.7,71.1,2238,1858,POINT (-76.9801087 38.8877413),11001006801,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication
2022,DC,District of Columbia,District of Columbia,11001,11001002202,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.4,,,8.2,10.7,3339,2556,POINT (-77.0118821 38.9479653),11001002202,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,DC,District of Columbia,District of Columbia,11001,11001009901,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,80.8,,,78.3,83.2,2364,1967,POINT (-76.9553332 38.8753461),11001009901,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication
2022,DC,District of Columbia,District of Columbia,11001,11001005303,BRFSS,Disability,Any disability among adults,%,Crude prevalence,13.7,,,11.6,16.0,3215,3066,POINT (-77.0391656 38.909613),11001005303,DISABLT,DISABILITY,CrdPrv,Any Disability
2022,DC,District of Columbia,District of Columbia,11001,11001007403,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,17.9,,,16.1,19.7,2613,1698,POINT (-76.9743805 38.8484714),11001007403,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress
2021,DC,District of Columbia,District of Columbia,11001,11001002703,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,20.1,,,17.4,23.1,2614,2264,POINT (-77.0397435 38.9334921),11001002703,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2022,DC,District of Columbia,District of Columbia,11001,11001004002,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,5.3,,,4.8,5.8,3291,3095,POINT (-77.0437209 38.9181186),11001004002,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma
2022,DC,District of Columbia,District of Columbia,11001,11001004201,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,1.1,,,1.0,1.2,3548,3398,POINT (-77.0388456 38.9162076),11001004201,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2021,DC,District of Columbia,District of Columbia,11001,11001007601,BRFSS,Prevention,Cholesterol screening among adults,%,Crude prevalence,88.9,,,86.4,91.2,4693,3704,POINT (-76.9798185 38.8716327),11001007601,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2022,DC,District of Columbia,District of Columbia,11001,11001003600,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,5.6,,,4.1,7.7,4775,4211,POINT (-77.0296273 38.9236744),11001003600,PREVENT,ACCESS2,CrdPrv,Health Insurance
2022,DC,District of Columbia,District of Columbia,11001,11001009902,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,29.0,,,25.2,33.2,2774,2242,POINT (-76.9445542 38.8717861),11001009902,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support
2022,DC,District of Columbia,District of Columbia,11001,11001009901,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,26.5,,,21.0,32.3,2364,1967,POINT (-76.9553332 38.8753461),11001009901,HLTHOUT,OBESITY,CrdPrv,Obesity
2022,DC,District of Columbia,District of Columbia,11001,11001009508,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,6.5,,,5.9,7.2,4243,3497,POINT (-76.9985582 38.9536826),11001009508,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2022,DC,District of Columbia,District of Columbia,11001,11001007304,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,62.2,,,57.0,66.9,4410,3210,POINT (-76.9855591 38.8417979),11001007304,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2022,DC,District of Columbia,District of Columbia,11001,11001001304,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,3.1,,,2.7,3.4,4018,3831,POINT (-77.0554702 38.9367508),11001001304,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2022,DC,District of Columbia,District of Columbia,11001,11001002001,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,28.5,,,24.9,32.5,2926,2250,POINT (-77.0351061 38.9597034),11001002001,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support
2022,DC,District of Columbia,District of Columbia,11001,11001010201,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,5.4,,,4.8,6.1,3341,3192,POINT (-77.0184625 38.8779576),11001010201,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress
2022,DC,District of Columbia,District of Columbia,11001,11001003000,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,8.5,,,7.6,9.5,3561,3032,POINT (-77.0299525 38.9288689),11001003000,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress
2022,DC,District of Columbia,District of Columbia,11001,11001007201,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,2.9,,,2.5,3.2,2985,2786,POINT (-76.9999179 38.8738481),11001007201,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2021,DC,District of Columbia,District of Columbia,11001,11001002900,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,61.4,,,58.3,64.6,4443,3811,POINT (-77.0299131 38.9338478),11001002900,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication
2022,DC,District of Columbia,District of Columbia,11001,11001000704,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,4.3,,,3.4,5.2,2753,2430,POINT (-77.0752384 38.9300215),11001000704,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2022,DC,District of Columbia,District of Columbia,11001,11001008002,BRFSS,Disability,Any disability among adults,%,Crude prevalence,14.5,,,12.3,16.9,3366,2690,POINT (-76.9827594 38.8915403),11001008002,DISABLT,DISABILITY,CrdPrv,Any Disability
2022,DC,District of Columbia,District of Columbia,11001,11001010603,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,2.5,,,2.2,2.9,3068,2990,POINT (-77.0063567 38.9011144),11001010603,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2022,DC,District of Columbia,District of Columbia,11001,11001008200,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,2.7,,,2.4,3.1,2695,2360,POINT (-77.000604 38.8918309),11001008200,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat
2022,DC,District of Columbia,District of Columbia,11001,11001003400,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,6.7,,,6.0,7.5,5120,4747,POINT (-77.0177044 38.9221674),11001003400,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress
2022,DC,District of Columbia,District of Columbia,11001,11001008410,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,68.4,,,63.0,73.3,1843,1523,POINT (-76.9911234 38.9015543),11001008410,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,DC,District of Columbia,District of Columbia,11001,11001007000,BRFSS,Health Risk Behaviors,Binge drinking among adults,%,Crude prevalence,30.9,,,26.9,35.0,2697,2323,POINT (-76.9959451 38.8812697),11001007000,RISKBEH,BINGE,CrdPrv,Binge Drinking
2022,DC,District of Columbia,District of Columbia,11001,11001009801,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,30.3,,,27.5,33.1,1848,1419,POINT (-76.9963306 38.8328939),11001009801,HLTHSTAT,GHLTH,CrdPrv,General Health
2022,DC,District of Columbia,District of Columbia,11001,11001003500,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,7.2,,,6.3,8.3,4801,4489,POINT (-77.024341 38.9223765),11001003500,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking
2022,DC,District of Columbia,District of Columbia,11001,11001000502,BRFSS,Health-Related Social Needs,Feeling socially isolated among adults,%,Crude prevalence,31.5,,,27.4,36.2,3418,2972,POINT (-77.0595624 38.9283547),11001000502,SOCLNEED,ISOLATION,CrdPrv,Social Isolation
2021,DC,District of Columbia,District of Columbia,11001,11001011001,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,26.6,,,23.4,30.3,2423,2203,POINT (-77.0157419 38.8741656),11001011001,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2022,DC,District of Columbia,District of Columbia,11001,11001001702,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,73.7,,,69.7,77.4,3356,2799,POINT (-77.0160682 38.9717231),11001001702,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2022,DC,District of Columbia,District of Columbia,11001,11001002001,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,36.2,,,30.6,42.0,2926,2250,POINT (-77.0351061 38.9597034),11001002001,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration
2022,DC,District of Columbia,District of Columbia,11001,11001000703,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,22.5,,,18.3,27.0,3022,2742,POINT (-77.0790462 38.9290941),11001000703,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration
2022,DC,District of Columbia,District of Columbia,11001,11001001500,BRFSS,Disability,Any disability among adults,%,Crude prevalence,16.4,,,14.0,18.9,6156,4542,POINT (-77.0558797 38.9741576),11001001500,DISABLT,DISABILITY,CrdPrv,Any Disability
2022,DC,District of Columbia,District of Columbia,11001,11001001002,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,3.4,,,3.0,3.8,3643,3218,POINT (-77.0788872 38.9384216),11001001002,DISABLT,HEARING,CrdPrv,Hearing Disability
2022,DC,District of Columbia,District of Columbia,11001,11001009804,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,36.1,,,29.5,43.0,2517,1872,POINT (-76.997258 38.8420148),11001009804,HLTHOUT,OBESITY,CrdPrv,Obesity
2022,DC,District of Columbia,District of Columbia,11001,11001007202,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,79.7,,,76.1,82.8,4303,4152,POINT (-77.0070741 38.8786426),11001007202,PREVENT,DENTAL,CrdPrv,Dental Visit
2022,DC,District of Columbia,District of Columbia,11001,11001002802,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.5,,,9.4,11.8,4685,3955,POINT (-77.0346327 38.9294344),11001002802,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2022,DC,District of Columbia,District of Columbia,11001,11001001804,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,57.9,,,52.8,62.7,5500,4129,POINT (-77.0304334 38.9670945),11001001804,PREVENT,DENTAL,CrdPrv,Dental Visit
2021,DC,District of Columbia,District of Columbia,11001,11001006600,BRFSS,Prevention,Cholesterol screening among adults,%,Crude prevalence,90.9,,,88.8,92.8,2164,1854,POINT (-76.9982439 38.8877585),11001006600,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2022,DC,District of Columbia,District of Columbia,11001,11001002400,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,12.2,,,11.0,13.6,4095,3488,POINT (-77.0224058 38.9417822),11001002400,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity
2021,DC,District of Columbia,District of Columbia,11001,11001000201,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,19.3,,,16.8,22.5,4108,4079,POINT (-77.0743418 38.9092171),11001000201,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication
2022,DC,District of Columbia,District of Columbia,11001,11001003000,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,14.7,,,13.4,16.3,3561,3032,POINT (-77.0299525 38.9288689),11001003000,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity
2021,DC,District of Columbia,District of Columbia,11001,11001000903,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,52.1,,,50.2,53.9,4202,3953,POINT (-77.093331 38.9376821),11001000903,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication
2022,DC,District of Columbia,District of Columbia,11001,11001010100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,4.6,,,3.9,5.3,2699,2625,POINT (-77.0318472 38.9026971),11001010100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2022,DC,District of Columbia,District of Columbia,11001,11001000202,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,74.4,,,70.2,78.2,4672,4212,POINT (-77.0696362 38.9063048),11001000202,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2022,DC,District of Columbia,District of Columbia,11001,11001009510,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,41.6,,,35.5,47.7,4525,3296,POINT (-77.0046255 38.9455978),11001009510,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration
2022,DC,District of Columbia,District of Columbia,11001,11001003801,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,3.0,,,2.6,3.5,1800,1642,POINT (-77.0389415 38.9197759),11001003801,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat
2021,DC,District of Columbia,District of Columbia,11001,11001004202,BRFSS,Prevention,Cholesterol screening among adults,%,Crude prevalence,87.1,,,84.1,89.8,2850,2736,POINT (-77.0430254 38.9134023),11001004202,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2022,DC,District of Columbia,District of Columbia,11001,11001004001,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,11.8,,,10.5,13.2,3941,3596,POINT (-77.0462674 38.9208738),11001004001,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress
2022,DC,District of Columbia,District of Columbia,11001,11001008802,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,16.3,,,14.4,18.5,4360,3741,POINT (-76.9866786 38.9039498),11001008802,SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps
2022,DC,District of Columbia,District of Columbia,11001,11001006802,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,7.9,,,6.9,9.0,2580,2055,POINT (-76.9814483 38.8832158),11001006802,HLTHSTAT,GHLTH,CrdPrv,General Health
2021,DC,District of Columbia,District of Columbia,11001,11001010900,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,36.0,,,32.1,40.2,3333,2403,POINT (-77.0238475 38.8132364),11001010900,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2021,DC,District of Columbia,District of Columbia,11001,11001009603,BRFSS,Prevention,Cholesterol screening among adults,%,Crude prevalence,87.4,,,84.7,89.9,3971,3034,POINT (-76.9477195 38.8918285),11001009603,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2022,DC,District of Columbia,District of Columbia,11001,11001005501,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,3.6,,,3.1,4.1,2303,2196,POINT (-77.0494324 38.9052766),11001005501,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2022,DC,District of Columbia,District of Columbia,11001,11001009903,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,65.6,,,60.8,70.0,2004,1522,POINT (-76.9212121 38.888318),11001009903,PREVENT,DENTAL,CrdPrv,Dental Visit
2022,DC,District of Columbia,District of Columbia,11001,11001009510,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,24.9,,,22.4,27.5,4525,3296,POINT (-77.0046255 38.9455978),11001009510,HLTHSTAT,GHLTH,CrdPrv,General Health
2022,DC,District of Columbia,District of Columbia,11001,11001001100,BRFSS,Health-Related Social Needs,Feeling socially isolated among adults,%,Crude prevalence,31.0,,,27.0,35.6,5300,4281,POINT (-77.0776732 38.9572432),11001001100,SOCLNEED,ISOLATION,CrdPrv,Social Isolation
2021,DC,District of Columbia,District of Columbia,11001,11001007804,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,33.1,,,29.4,37.3,3499,2674,POINT (-76.9313427 38.8942107),11001007804,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2022,DC,District of Columbia,District of Columbia,11001,11001009906,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,13.8,,,12.3,15.6,1773,1407,POINT (-76.9359151 38.8879464),11001009906,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat
2021,DC,District of Columbia,District of Columbia,11001,11001000802,BRFSS,Prevention,Cholesterol screening among adults,%,Crude prevalence,89.7,,,87.5,91.8,3327,2669,POINT (-77.0896118 38.9126765),11001000802,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2022,DC,District of Columbia,District of Columbia,11001,11001004001,BRFSS,Disability,Any disability among adults,%,Crude prevalence,12.2,,,10.3,14.3,3941,3596,POINT (-77.0462674 38.9208738),11001004001,DISABLT,DISABILITY,CrdPrv,Any Disability
2022,DC,District of Columbia,District of Columbia,11001,11001004802,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,11.6,,,10.4,13.0,3634,3180,POINT (-77.0188917 38.9062118),11001004802,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2022,DC,District of Columbia,District of Columbia,11001,11001009302,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,14.4,,,13.2,15.9,1750,1476,POINT (-76.9907773 38.9251636),11001009302,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001002301,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,5.7,,,5.1,6.2,3266,2592,POINT (-77.0165915 38.942552),11001002301,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2022,DC,District of Columbia,District of Columbia,11001,11001007707,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,14.1,,,12.3,15.9,3927,2970,POINT (-76.9353432 38.8779453),11001007707,HLTHOUT,DIABETES,CrdPrv,Diabetes
2022,DC,District of Columbia,District of Columbia,11001,11001005203,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,2.6,,,2.3,2.9,2979,2889,POINT (-77.0331441 38.9077655),11001005203,DISABLT,HEARING,CrdPrv,Hearing Disability
2022,DC,District of Columbia,District of Columbia,11001,11001980000,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.5,,,9.3,11.7,176,167,POINT (-77.0363219 38.8809933),11001980000,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2022,DC,District of Columbia,District of Columbia,11001,11001000702,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,5.4,,,4.9,5.9,3452,3175,POINT (-77.077893 38.9241271),11001000702,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma
2022,DC,District of Columbia,District of Columbia,11001,11001007603,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,9.5,,,8.3,10.9,4185,3503,POINT (-76.9585469 38.859109),11001007603,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking
2022,DC,District of Columbia,District of Columbia,11001,11001009603,BRFSS,Health-Related Social Needs,Feeling socially isolated among adults,%,Crude prevalence,38.0,,,33.5,43.1,3971,3034,POINT (-76.9477195 38.8918285),11001009603,SOCLNEED,ISOLATION,CrdPrv,Social Isolation
2022,DC,District of Columbia,District of Columbia,11001,11001004402,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,79.1,,,73.2,84.2,2755,2485,POINT (-77.0270354 38.9155152),11001004402,PREVENT,MAMMOUSE,CrdPrv,Mammography
2022,DC,District of Columbia,District of Columbia,11001,11001007202,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,80.2,,,74.4,85.0,4303,4152,POINT (-77.0070741 38.8786426),11001007202,PREVENT,MAMMOUSE,CrdPrv,Mammography
2022,DC,District of Columbia,District of Columbia,11001,11001010700,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,1.0,,,0.9,1.1,2296,2210,POINT (-77.0419809 38.9039988),11001010700,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2022,DC,District of Columbia,District of Columbia,11001,11001004201,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,5.8,,,5.1,6.6,3548,3398,POINT (-77.0388456 38.9162076),11001004201,HLTHSTAT,GHLTH,CrdPrv,General Health
2022,DC,District of Columbia,District of Columbia,11001,11001010500,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,5.0,,,4.5,5.5,3712,3297,POINT (-77.0133789 38.8818529),11001010500,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma
2022,DC,District of Columbia,District of Columbia,11001,11001007100,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,2.9,,,2.7,3.2,3218,2648,POINT (-76.986838 38.8771811),11001007100,HLTHOUT,STROKE,CrdPrv,Stroke
2021,DC,District of Columbia,District of Columbia,11001,11001002301,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,27.1,,,23.9,30.7,3266,2592,POINT (-77.0165915 38.942552),11001002301,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2022,DC,District of Columbia,District of Columbia,11001,11001005001,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,79.9,,,76.5,83.0,2012,1874,POINT (-77.0295088 38.9119619),11001005001,PREVENT,DENTAL,CrdPrv,Dental Visit
2022,DC,District of Columbia,District of Columbia,11001,11001000300,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,3.3,,,2.9,3.7,6161,5081,POINT (-77.0748728 38.9179099),11001000300,DISABLT,HEARING,CrdPrv,Hearing Disability
2022,DC,District of Columbia,District of Columbia,11001,11001002400,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,33.3,,,27.9,38.8,4095,3488,POINT (-77.0224058 38.9417822),11001002400,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration
2022,DC,District of Columbia,District of Columbia,11001,11001006802,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,8.5,,,7.0,10.2,2580,2055,POINT (-76.9814483 38.8832158),11001006802,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2021,DC,District of Columbia,District of Columbia,11001,11001008100,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,18.3,,,15.7,21.3,3153,2601,POINT (-76.9925272 38.893171),11001008100,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2022,DC,District of Columbia,District of Columbia,11001,11001001003,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.0,,,8.0,10.0,3111,2257,POINT (-77.0930741 38.9492362),11001001003,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2022,DC,District of Columbia,District of Columbia,11001,11001006500,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,2.0,,,1.9,2.2,2609,2258,POINT (-77.0033314 38.883848),11001006500,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2022,DC,District of Columbia,District of Columbia,11001,11001007604,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,60.6,,,55.7,65.2,3803,3083,POINT (-76.9638007 38.8660921),11001007604,PREVENT,DENTAL,CrdPrv,Dental Visit
2022,DC,District of Columbia,District of Columbia,11001,11001002201,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,7.3,,,5.4,9.4,3485,2755,POINT (-77.0232932 38.9491337),11001002201,PREVENT,ACCESS2,CrdPrv,Health Insurance
2022,DC,District of Columbia,District of Columbia,11001,11001007301,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,64.2,,,58.4,69.6,3841,2645,POINT (-77.024445 38.834928),11001007301,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,DC,District of Columbia,District of Columbia,11001,11001010201,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,11.0,,,9.4,12.6,3341,3192,POINT (-77.0184625 38.8779576),11001010201,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2021,DC,District of Columbia,District of Columbia,11001,11001009204,BRFSS,Prevention,Cholesterol screening among adults,%,Crude prevalence,84.5,,,81.2,87.4,2889,2225,POINT (-76.9987071 38.9234161),11001009204,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2022,DC,District of Columbia,District of Columbia,11001,11001002600,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,22.5,,,17.7,27.7,2592,2021,POINT (-77.0404553 38.9464323),11001002600,HLTHOUT,OBESITY,CrdPrv,Obesity
