X,Y,DCGISPrimaryCarePtNAME,DCGISPrimaryCarePtADDRESS,DCGISPrimaryCarePtCITY,DCGISPrimaryCarePtSTATE,DCGISPrimaryCarePtWARD,DCGISPrimaryCarePtPHONE,DCGISPrimaryCarePtFAX,DCGISPrimaryCarePtCT_HPSA,DCGISPrimaryCarePtMEDICALDIR,DCGISPrimaryCarePtCHARGENURS,DCGISPrimaryCarePtADMINISTRA,DCGISPrimaryCarePtWEB_URL,DCGISPrimaryCarePtMAR_CENSUS,DCGISPrimaryCarePtSEE_PATIENTS_WHO_CANT_PAY,DCGISPrimaryCarePtPOPULATION_SERVED,DCGISPrimaryCarePtWALKIN_UNSCHEDULED,DCGISPrimaryCarePtINSURANCE_ACCEPTED,DCGISPrimaryCarePtOPEN_TO_PUBLIC,DCGISPrimaryCarePtLIMITED_ACCESS,DCGISPrimaryCarePtTREATMENT_FOR_ALL,DCGISPrimaryCarePtPUBLIC_INSURANCE,DCGISPrimaryCarePtMEDICAID,DCGISPrimaryCarePtMEDICARE,DCGISPrimaryCarePtPRIVATE_EMPLOYER_INSURANCE,DCGISPrimaryCarePtPRIVATE_INSURANCE,DCGISPrimaryCarePtSLIDING_SCALE,DCGISPrimaryCarePtFACILITY_SETTING,DCGISPrimaryCarePtFACILITY_TYPE,DCGISPrimaryCarePtPRACTICE_TYPE,DCGISPrimaryCarePtYESNO,DCGISPrimaryCarePtLAST_MODIFIED_DATE,DCGISPrimaryCarePtLAST_MODIFIED_USER,DCGISPrimaryCarePtLAST_MODIFIED_ACTION,DCGISPrimaryCarePtGIS_ID,DCGISPrimaryCarePtOBJECTID,DCGISPrimaryCarePtXCOORD,DCGISPrimaryCarePtYCOORD,DCGISPrimaryCarePtZIP_1,DCGISPrimaryCarePtZIPCODE,DCGISPrimaryCarePtMAR_ID,DCGISPrimaryCarePtSE_ANNO_CAD_DATA,DCGISPrimaryCarePtGLOBALID,DCGISPrimaryCarePtCREATOR,DCGISPrimaryCarePtCREATED,DCGISPrimaryCarePtEDITOR,DCGISPrimaryCarePtEDITED,DCGISPRIMARY_CARE_INFOOBJECTID,DCGISPRIMARY_CARE_INFOOPEN_TO_PUBLIC,DCGISPRIMARY_CARE_INFOLIMITED_ACCESS,DCGISPRIMARY_CARE_INFOTREATMENT_FOR_ALL,DCGISPRIMARY_CARE_INFOPUBLIC_INSURANCE,DCGISPRIMARY_CARE_INFOMEDICAID,DCGISPRIMARY_CARE_INFOMEDICARE,DCGISPRIMARY_CARE_INFOPRIVATE_EMPLOYER_INSURANCE,DCGISPRIMARY_CARE_INFOPRIVATE_INSURANCE,DCGISPRIMARY_CARE_INFOSLIDING_SCALE,DCGISPRIMARY_CARE_INFOFACILITY_SETTING,DCGISPRIMARY_CARE_INFOFACILITY_TYPE,DCGISPRIMARY_CARE_INFOPRACTICE_TYPE,DCGISPRIMARY_CARE_INFOYESNO_,DCGISPRIMARY_CARE_INFOHR_CONTACT,DCGISPRIMARY_CARE_INFOHR_PHONE,DCGISPRIMARY_CARE_INFOHR_EMAIL,DCGISPRIMARY_CARE_INFOPUBLIC_SERVICES,DCGISPRIMARY_CARE_INFOPOP_SERVED,DCGISPRIMARY_CARE_INFOCHILD_SPECIAL_NEEDS,DCGISPRIMARY_CARE_INFOELDERLY,DCGISPRIMARY_CARE_INFOHIV,DCGISPRIMARY_CARE_INFOHOMELESS,DCGISPRIMARY_CARE_INFOLBGT,DCGISPRIMARY_CARE_INFOINTEL_DISABLED,DCGISPRIMARY_CARE_INFOLANGUAGE_LIMITED,DCGISPRIMARY_CARE_INFOOTHER_SPECIAL_POP,DCGISPRIMARY_CARE_INFOPHYSICALLY_DISABLED,DCGISPRIMARY_CARE_INFOMENTAL_ILLNESS,DCGISPRIMARY_CARE_INFOABILITY_TO_PAY,DCGISPRIMARY_CARE_INFOINSURANCE_ALLIANCE,DCGISPRIMARY_CARE_INFOPRIVATE_PLANS,DCGISPRIMARY_CARE_INFOEXCLUDED_PLANS,DCGISPRIMARY_CARE_INFOPRACTICE_SETTING,DCGISPRIMARY_CARE_INFOHOSPITAL_AFFILIATION,DCGISPRIMARY_CARE_INFOCARDIOLOGY,DCGISPRIMARY_CARE_INFODERMATOLOGY,DCGISPRIMARY_CARE_INFOENDOCRINOLOGY,DCGISPRIMARY_CARE_INFOGASTROENTEROLOGY,DCGISPRIMARY_CARE_INFOGENERAL_SURGERY,DCGISPRIMARY_CARE_INFOHIV_AIDS,DCGISPRIMARY_CARE_INFOINFECTIOUS_DISEASE,DCGISPRIMARY_CARE_INFONEPHROLOGY,DCGISPRIMARY_CARE_INFONEUROLOGY,DCGISPRIMARY_CARE_INFOOBSTETRICS,DCGISPRIMARY_CARE_INFOONCOLOGY,DCGISPRIMARY_CARE_INFOOPTHALMOLOGY,DCGISPRIMARY_CARE_INFOORAL_SURGERY,DCGISPRIMARY_CARE_INFOOTHER_SPECIALTY,DCGISPRIMARY_CARE_INFOORTHOPEDIC,DCGISPRIMARY_CARE_INFOGASTRO_ENT,DCGISPRIMARY_CARE_INFOPEDIATRICS,DCGISPRIMARY_CARE_INFOPODIATRY,DCGISPRIMARY_CARE_INFOPRIMARY_CARE,DCGISPRIMARY_CARE_INFOPSYCHIATRY,DCGISPRIMARY_CARE_INFOPULMONARY_MEDICINE,DCGISPRIMARY_CARE_INFOREPRODUCTIVE_HEALTH,DCGISPRIMARY_CARE_INFORHEUMATOLOGY,DCGISPRIMARY_CARE_INFOSTI_TEST_TREAT,DCGISPRIMARY_CARE_INFOUROLOGY,DCGISPRIMARY_CARE_INFODENTISTRY,DCGISPRIMARY_CARE_INFOHEALTH_NUTR_ED,DCGISPRIMARY_CARE_INFOMENTAL_HEALTH,DCGISPRIMARY_CARE_INFOPHARMACY,DCGISPRIMARY_CARE_INFOOTHER_SERVICES,DCGISPRIMARY_CARE_INFOWIC,DCGISPRIMARY_CARE_INFOSOCIAL_SERVICES,DCGISPRIMARY_CARE_INFOCHILDCARE,DCGISPRIMARY_CARE_INFOINSURANCE_SCREEN,DCGISPRIMARY_CARE_INFOINSURANCE_OTHER,DCGISPRIMARY_CARE_INFOACCEPT_NEW_PT,DCGISPRIMARY_CARE_INFOSCHEDULE_APPT_PHONE,DCGISPRIMARY_CARE_INFOSCHEDULE_APPT_EMAIL,DCGISPRIMARY_CARE_INFOSCHEDULE_APPT_WEB,DCGISPRIMARY_CARE_INFOOPEN_ACCESS_SCHEDULE,DCGISPRIMARY_CARE_INFOOPEN_ACCESS_TIME,DCGISPRIMARY_CARE_INFOHOURS_MONDAY,DCGISPRIMARY_CARE_INFOHOURS_TUESDAY,DCGISPRIMARY_CARE_INFOHOURS_WEDNESDAY,DCGISPRIMARY_CARE_INFOHOURS_THURSDAY,DCGISPRIMARY_CARE_INFOHOURS_FRIDAY,DCGISPRIMARY_CARE_INFOHOURS_SATURDAY,DCGISPRIMARY_CARE_INFOHOURS_SUNDAY,DCGISPRIMARY_CARE_INFOENGLISH,DCGISPRIMARY_CARE_INFOSPANISH,DCGISPRIMARY_CARE_INFOVIETNAMESE,DCGISPRIMARY_CARE_INFOKOREAN,DCGISPRIMARY_CARE_INFOAMHARIC,DCGISPRIMARY_CARE_INFOCHINESE_TRADITIONAL,DCGISPRIMARY_CARE_INFOFRENCH,DCGISPRIMARY_CARE_INFOASL,DCGISPRIMARY_CARE_INFOOTHER_LANGUAGE,DCGISPRIMARY_CARE_INFOFACILITY_AFFILIATION,DCGISPRIMARY_CARE_INFOGIS_ID,DCGISPRIMARY_CARE_INFOEVENING_HOURS,DCGISPRIMARY_CARE_INFOMEDICAL_SERVICES_AVAILABLE,DCGISPRIMARY_CARE_INFOQUADRANT,DCGISPRIMARY_CARE_INFOANC,DCGISPRIMARY_CARE_INFOWEEKEND_HOURS,DCGISPRIMARY_CARE_INFOCREATED_USER,DCGISPRIMARY_CARE_INFOCREATED_DATE,DCGISPRIMARY_CARE_INFOLAST_EDITED_USER,DCGISPRIMARY_CARE_INFOLAST_EDITED_DATE,DCGISPRIMARY_CARE_INFOMAR_ID
-8575207.23929762,4707815.64489235,MetroHealth,1012 14TH STREET NW,WASHINGTON,DC,2,202-638-0750, , , , , ,https://metrohealthdc.org,010100, , ,varies - 2 am and 2 pm slots per day, ,Yes, ,Yes,Yes,Yes,Pending,Yes,Private insurance is also accepted,Yes,Community Health Center,Private Non-Profit, ,,,,,PC_03,344,397190.06,137260.45,20005,20005,240262,,{B461A680-6CAA-4007-BB49-BB4098B474DF},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,332,Yes, ,Yes,Yes,Yes,Pending,"Yes, please call","Yes, please call",Yes,Community Health Center,Private Non-Profit, ,, , , ,Yes,All, ,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,See Worksheet, ,Community Health Center, , , , , , ,Yes,Yes, , , , , , ,Family Medicine, , , , ,Yes, , ,Yes - Limited, ,Yes, , ,Yes,Yes, ,"Health Ed/Nutrition, Mental Health", ,Yes, ,Yes, ,Yes,"Yes, by phone", , ,"Yes, limited",varies,8:30 AM - 7:00 PM,8:30 AM - 5:00 PM,9:30 AM - 7:00 PM,8:30 AM - 5:00 PM,9:30 AM - 5:00 PM,,,Yes,Yes, , , , ,French,Limited, , ,PC_03,Yes,"Family Medicine, HIV/AIDS Care, Infections Disease, Primary Care, Reproductive Health, STI Test/Treatment",NW,2C,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,240262
-8576699.82704079,4707768.53323543,Children's Health Center - Foggy Bottom,2101 K STREET NW,WASHINGTON,DC,2,202-833-4543,,,,,,https://childrensnational.org/primary-care/foggy-bottom,010700,,,,,,,,,,,,,,,,,,2020/03/13 00:00:00+00,geoffrey.hatchard,ADD,PC_60,345,395935.38,137219.4,20006,20006,218615,,{923CF40F-EC34-4B99-877A-FC237C224E95},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,,,,,,,,,,,,PC_60,,,NW,2A,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,218615
-8569176.95508788,4707474.41865321,Community of Hope - Family Health & Birth,801 17TH STREET NE,WASHINGTON,DC,5,202-398-5520, , , , , ,https://www.communityofhopedc.org,008904, , ,Yes -call, ,Yes, ,Yes,Yes,Yes,Yes,Yes,Private insurance is also accepted,Yes,FQHC,Private Non-Profit, ,,,,,PC_10,346,401897.11,136990.28,20002,20002,288960,,{AD260588-AAE8-4448-87A2-FE2F648639C6},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,330,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,FQHC,Private Non-Profit, ,,Charla Everhart Lum,202-407-7749,clum@cohdc.org,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Carefirst/Aetna/Cigna, ,FQHC, , , , , , ,Yes, , , ,Yes, , , , , , ,Yes, ,Yes,Yes, ,Yes, ,Yes, ,Yes,Yes,Yes, ,"Dental, Health Ed/Nutrition, Mental Health", ,Yes, ,Yes, ,Yes,"Yes, by phone", , ,"Yes, limited",(didn't list),9:00 AM - 5:00 PM,9:00 AM - 7:30 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 3:30PM,,Yes,Yes,Via translation line line,Via translation line,Via translation line,Via translation line,Via translation line, ,Translation for all others, ,PC_10,Yes,"HIV/AIDS, Obstetrics, Pediatrics, Primary Care, Psychiatry, Reproductive Health, STI Test/Treatment",NE,5D,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,288960
-8565752.60686206,4707418.78374164,Unity - Parkside Health Center,765 KENILWORTH TERRACE NE,WASHINGTON,DC,7,202-469-4699,,,,,,https://www.unityhealthcare.org,009602,,,,,Yes,Homeless/Residential,Yes,Yes,Yes,Yes,Yes,"Yes, except Kaiser
",Yes,"Community Health Center-FQHC
","Non-Profit 
",,,,,,PC_55,347,404557.27,136953.28,20019,20019,310407,,{B5C828D8-EC70-4113-BFC5-0591F7FF2F3F},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,358,Yes,No,Yes,Yes ,Yes ,Yes ,Yes ,"Yes, except Kaiser",Yes ,Community Health Center-FQHC,Non-Profit ,,,,,,Yes ,All ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,"Medicaid, Medicare, AmeriHealth, MedStar Family Choice, Trusted Health Plan ",Kaiser ,,,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,N/A ,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,"Yes, Behavioral ",No,"Primary Care, Pediatrics, Reproductive Health, Psychiatry, Podiatry, Obstetrics, Dental, Social Services, Health Ed./Nutrition, HIV/AIDS Care, Mental Health, Dermatology, Orthopedic, Opthalmology ",,Yes,,,,,,,,Yes,,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,,,Yes,,,,,,,,Interpreter service provided ,,PC_55,No,"Primary Care, Pediatrics, Reproductive Health, Psychiatry, Podiatry, Obstetrics, Dental, Social Services, Health Ed./Nutrition, HIV/AIDS Care, Mental Health, Dermatology, Orthopedic, Opthalmology ",NE,7D,No,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,310407
-8575069.1245581,4707344.65179698,Unity - Downtown BID,1313 NEW YORK AVENUE NW,WASHINGTON,DC,2,202-508-0500,,,,,,https://www.unityhealthcare.org,010100,,,,,,,,,,,,,,,,,,2020/03/13 00:00:00+00,geoffrey.hatchard,ADD,PC_61,348,397292.44,136903.07,20005,20005,279043,,{53F1E771-495F-418D-AFBA-6C5203AC605D},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,,,,,,,,,,PC_61,,,NW,2C,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,279043
-8572834.24387638,4707169.9722403,Unity - Central Union Mission - Gales School,65 MASSACHUSETTS AVENUE NW,WASHINGTON,DC,6,202-508-0500,,,,,,https://www.unityhealthcare.org,004702,,,,,Yes,Homeless/Residential,Yes,Yes,Yes,Yes,Yes,,Yes,Community Health Center-FQHC,Private Non-Profit,,,2020/03/13 00:00:00+00,geoffrey.hatchard,ADD,PC_62,349,399043.27,136760.04,20001,20001,237153,,{21B0CC66-1C6C-4C6E-9052-8D9A2D96BE68},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM, 7:30 AM - 10:00 PM, 7:30 AM - 10:00 PM,,,,,,,,,,,PC_62,,,NW,6E,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,237153
-8573081.2534566,4706715.53441891,Unity - Federal City (CCNV),425 2ND STREET NW,WASHINGTON,DC,6,202-508-0500, , , , , ,https://www.unityhealthcare.org/,005900, , ,Yes, ,Yes,Homeless/Residential,Yes,Yes,Yes,Yes,Yes,Private insurance is also accepted,Yes,Community Health Center-FQHC,Private Non-Profit, ,,,,,PC_32,350,398846.74,136399.3,20001,20001,299726,,{8A15F89E-92C8-40E2-AF3E-9BD6BC03F68F},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,328,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,Aalleyne@Unityhealthcare.org,Yes,All, ,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Blue Cross, ,"Community Health Center, FQHC", , , , , , , ,Yes,Yes, , , , , , , ,Yes, ,Yes,Yes,Yes, ,Yes, ,Yes,Yes,Yes,Yes, , ,"Dental, Health Ed/Nutrition", ,Yes, ,Yes, ,Yes,"Yes, by phone", , ,Yes,"7:45AM-8:45AM; 12:45PM-1:45 PM or at provider's discretion",24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , ,PC_32,No,"Infectious Disease, Nephrology, Gastroenterology, Podiatry, Primary Care, Psychiatry, Reproductive Health, STI Test/Treatment, Urology",NW,6E,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,299726
-8566180.4719976,4706489.45879739,Unity - Minnesota Avenue Health Center,3924 MINNESOTA AVENUE NE,WASHINGTON,DC,7,202-469-4699, , , , , ,https://www.unityhealthcare.org/,009603, , ,Yes, ,Yes,Homeless/Residential,Yes,Yes,Yes,Yes,Yes,Private insurance is also accepted,Yes,Community Health Center-FQHC-School Based Health Ctr.,Private Non-Profit, ,,,,,PC_43,351,404252.97,136219.18,20019,20019,288039,,{AA4A504B-FBD2-41F8-BA53-00E85649F539},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,338,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,Community Health Center-FQHC-School Based Health Ctr.,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,aarthur@unityhealthcare.org,Yes,All,Yes,Yes,Yes, ,Yes, ,Yes, , , ,Yes,Yes,Yes, ,Community Health Center - FQHC - School Based Health Ctr., , ,Yes, , , ,Yes,Yes, , ,Yes, , , , , , ,Yes,Yes,Yes,Yes, ,Yes, ,Yes, , ,Yes, , ,Health Ed/Nutrition, ,Yes, ,Yes, ,Yes,"Yes, by phone","psc@unityhealthcare.org;",http://www.UnityHealthcare.org/,Yes,varies,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM -2:00 PM,8:00 AM -2:00 PM,Yes, , , , , , , , , ,PC_43,Yes,"Dermatology, HIV/AIDS Care, Infectious Disease, Obstetrics, Pediatrics, Podiatry, Primary Care, Psychiatry, Reproductive Health, STI Test/Treatment",NE,7F,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,288039
-8564741.86082786,4706103.47655763,Unity - East of the River Health Center,4414 BENNING ROAD NE,WASHINGTON,DC,7,202-469-4699,,,,,,https://www.unityhealthcare.org/,007803,,,Yes,,Yes,Homeless/Residential,Yes,Yes,Yes,Yes,Yes,Private insurance is also accepted,Yes,Community Health Center-FQHC,Private Non-Profit,,,,,,PC_37,352,405336.17,135949.71,20019,20019,288206,,{4F2FE29A-E803-4D45-9CD1-5A7EB0F5446F},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,337,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,Aalleyne@Unityhealthcare.org,Yes,All,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes - ALL,Yes,Yes,Yes,Yes,All except HMOs,HMOs,"Community Health Center, FQHC", , , , , , , ,Yes, , , , , , , , , ,Yes,Yes,Yes,Yes, , , , , ,Yes,Yes,Yes, ,"Dental, Health Ed/Nutrition, Mental Health, WIC",Yes,Yes, , , ,Yes,"Yes, by phone", , ,Yes,varies,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,,Yes,Yes, , , , , , , , ,PC_37,Yes,"Infectious Disease, Pediatrics, Podiatry, Primary Care, Psychiatry",NE,7F,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,288206
-8571264.68472552,4705265.24863942,Children's Health Center - Capitol Hill,650 PENNSYLVANIA AVENUE SE,WASHINGTON,DC,6,202-833-4543,,,,,,https://childrensnational.org/primary-care/capitol-hill,006600,,,,,,,,,,,,,,,,,,2020/03/13 00:00:00+00,geoffrey.hatchard,ADD,PC_63,353,400262.13,135282.05,20003,20003,280033,,{6CCD8618-DB4D-4599-9CA3-13DC6DBAADE5},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,,,,,,,,,,,,PC_63,,,SE,6B,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,280033
-8571422.40195077,4704111.08895408,Unity - Southwest Health Center,555 L STREET SE,WASHINGTON,DC,8,202-469-4699,,,,,,https://www.unityhealthcare.org/,007203,,,Monday - Friday,,Yes,Homeless/Residential,Yes,Yes,Yes,Yes,Yes,,Yes,Community Health Center-FQHC,Private Non-Profit,,,,,,PC_47,354,400140.59,134388.83,20003,20003,289646,,{A3323FAA-B3C4-42A5-A5D1-D4997036305D},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,355,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,Aalleyne@Unityhealthcare.org,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes, , ,Community Health Center-FQHC, , , , , , , ,Yes, , ,Yes, , , , , , ,Yes,Yes,Yes,Yes, ,Yes, ,Yes, ,Yes,Yes, , ,"Dental, Health Ed/Nutrition, WIC",Yes,Yes, ,Yes, ,Yes,"Yes, by phone", ,Yes,Yes, ,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes-all through Language Lane, ,PC_47,No,"Infectious Disease, Obstetrics, Pedicatrics, Podiatry, Primary Care, Psychiatry, Reproductive Health, STI Test/Treatment",SE,8F,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,289646
-8566052.28442978,4702484.29541161,Children's Health Center - Fort Davis,3839 ½ ALABAMA AVENUE SE,WASHINGTON,DC,7,202-582-6800,,,,,,https://childrensnational.org/primary-care/fort-davis,009902,,,,,,,,,,,,,,,,,,2020/03/13 00:00:00+00,geoffrey.hatchard,ADD,PC_64,355,404325.15,133127.78,20020,20020,304152,,{84CAA47E-87E0-4F52-B673-C03167A2FB95},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,,,,,,,,,,,,PC_64,,,SE,7B,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,304152
-8570468.52339681,4702485.36908639,"Family and Medical Counseling Services, Inc. (FMCS)",2041 MARTIN LUTHER KING JR AVENUE SE,WASHINGTON,DC,8,202-889-7900, , , , , ,https://www.fmcsinc.org,007503, , ,Yes, ,Yes, ,Yes,Yes,Yes,Yes,Yes,Private insurance is also accepted,Yes, ,Private Non-Profit,"Private Practice, Group Practice",,,,,PC_12,356,400882.92,133122.47,20020,20020,278056,,{AB8591B3-863D-4144-8C55-CDD9BB4B2D7C},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,345,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes, ,Private Non-Profit,"Private Practice, Group Practice",, , , ,Yes,All, ,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes, ,Yes,Yes,"Aetna, Charter, BC/BS", , , ,Yes, , , , ,Yes,Yes, , , , , , , , , , , ,Yes, , ,Yes, ,Yes, , ,Yes, ,Yes,"Health Ed/Nutrition, Pharmacy", ,Yes, ,Yes, ,Yes,"Yes, by phone", , ,Yes, 9-11 AM Monday - Friday,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,9:00 AM -12:00 PM,,Yes, , , , , ,Yes, , , ,PC_12,No,"Cardiology, HIV/AIDS Care, Infectious Disease, Primary Care, Reproductive Health, STI Test/Treatment",SE,8A,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,278056
-8572437.81861748,4714892.27714037,Mary's Center - Fort Totten,100 GALLATIN STREET NE,WASHINGTON,DC,5,202-483-8196,,,,,,https://www.maryscenter.org/contact-and-locations/fort-totten-dc/,009508,,,,,,,,,,,,,,,,,,,,,PC_18,357,399351.72,142773.48,20011,20011,294470,,{AD8EC576-B9F5-43D4-99EE-A977B0A105C7},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,,,,,,,,,,PC_18,,,NE,5A,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,294470
-8575282.69275307,4714237.62691582,Andromeda Transcultural Health,1400 DECATUR STREET NW,WASHINGTON,DC,4,202-291-4707,,,,,,https://andromedahealth.org/,002501,,,No,,Yes,,No,,Yes,Yes,Yes,,Yes,,Community Health Center,Group Practice,,,,,PC_01,358,397126.56,142243.35,20011,20011,302000,,{4A01B17A-3653-4B11-BAAC-F826CCDB0310},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,341,Yes, ,No,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes, ,Community Health Center,Group Practice,,Deanna Revelo,202-291-4707 ext. 108,drevelo@andromedatransculturalhealth.org,Yes,All, , ,Yes, ,Yes, ,Yes,Children with mental health needs, ,Yes,No, , , , , , , , , , ,Yes, , , , , , , , , , , , ,Yes,Yes, , , , , , , ,Yes,Yes,"Mental Health, Pharmacy", , , , , ,No,"Yes, by phone", , ,No, ,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,Yes,Yes, , , , ,Yes, , , ,PC_01,No,"HIV/AIDS Care, Primary Care, Psychiatry",NW,4E,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,302000
