X,Y,NAME,ADDRESS,LICENSE_NUMBER,LICENSE_TYPE,LICENSE_ISSUE_DATE,LICENSE_EXPIRATION_DATE,WARD,ZIPCODE,CONTACT_TYPE,EMAIL,PHONE,FAX_NUMBER,START_TIME,END_TIME,POINT_OF_CONTACT,OTHER_CONTACT_DESCRIPTION,C_O_HO_PERMIT_ISSUED_DATE,FIRE_INSPECTION_DATE,NUMBER_OF_INFANTS,NUMBER_OF_PRESCHOOL_CHILDREN,NUMBER_OF_TODDLERS,NUM_OF_SCHOOL_AGE_CHILDREN,AUTHORIZED_CAPACITY,INSPECTOR_ASSIGNED,LATITUDE,LONGITUDE,XCOORD,YCOORD,MAR_MATCHADDRESS,MARID,OBJECTID
-8571629.93335835,4698688.99943127,"Bright Beginnings, Inc.","3418 4th ST, SE ",CDC-102687,Full License,2024/10/08 04:00:00+00,2027/09/30 04:00:00+00,8,20032,Other,rsally@bbidc.org,(202) 731-1877,,,,Renee Sally,Director of Operations,2020/08/13 04:00:00+00,2024/07/17 04:00:00+00,16,32,79,0,127,Makia.Tabourn@dc.gov,38.83936396,-77.00025951,399977.47,130174.25,3418 4TH STREET SE,278389,140110
-8575604.59926746,4716525.884862,Wonders Extended Day at Milton,"6045 16th ST, NW ",CDC-102689,Full License,2025/01/28 05:00:00+00,2027/12/31 05:00:00+00,4,20011,Other,Kwoodard@wonderslearning.org  ,(301) 654-5339,,,,Kari Woodard,Compliance Specialist,2018/11/19 05:00:00+00,2024/11/19 05:00:00+00,0,0,0,46,46,kanell.johnson@dc.gov,38.96406023,-77.03596452,396883.1,144017.12,6045 16TH STREET NW,256159,140111
-8576034.26332844,4707093.91416356,Federal Home Loan  Bank Board Small Savers CDC,"1700 G ST,  NW ",CDC-102690,Full License,2025/01/29 05:00:00+00,2027/09/30 04:00:00+00,2,20552,Center Director,daniel.powell@smallsavers.org,(202) 200-4908,,,,Daniel Powell,,2019/10/31 04:00:00+00,2024/08/15 04:00:00+00,12,32,30,0,74,Makia.Tabourn@dc.gov,38.89814952,-77.03982426,396545.4,136700.6,1700 G STREET NW,301067,140112
-8569023.70914154,4699260.48952102,AppleTree Early Public Charter School @ Parkland,1801 Mississippi AVE. SE 3rd Floor ,CDC-102693,Full License,2022/04/27 04:00:00+00,2024/11/30 05:00:00+00,8,20032,Other,devon.tucker@appletreeinstitute.org,(202) 506-1890,,,,Devon Tucker,Operations & Compliance Specialist,2018/08/30 04:00:00+00,2024/09/17 04:00:00+00,0,80,0,0,80,jazmin.hunt@dc.gov,38.84336258,-76.97684741,402009.94,130618.38,1801 MISSISSIPPI AVENUE SE,313139,140113
-8582943.97229213,4710929.66119277,Palisades Montessori Infant and Toddler Center,"5104 MacArthur BLD, NW ",CDC-102696,Full License,2025/02/01 05:00:00+00,2025/05/01 04:00:00+00,3,20016,Center Director,heather@palisadesmontessori.com,(202) 537-6807,,,,Gwendolyn Horton,,2020/01/09 05:00:00+00,2024/01/18 05:00:00+00,0,12,12,0,24,jazmin.hunt@dc.gov,38.92496115,-77.10189521,391164.31,139681.09,5104 MACARTHUR BOULEVARD NW,285088,140114
-8575518.21558602,4711199.44357273,Martha's Table Maycroft Early Learning Center,"1474 Columbia RD, NW ",CDC-102698,Full License,2025/02/03 05:00:00+00,2028/02/29 05:00:00+00,1,20009,Other,direland@marthastable.org,(202) 808-8000,,,,Douglas Ireland,Program Administrator,2019/02/15 05:00:00+00,2024/04/01 04:00:00+00,0,0,32,0,32,stephanie.tindal@dc.gov,38.92684653,-77.03518853,396948.76,139886.04,1474 COLUMBIA ROAD NW,234344,140115
-8576112.23823567,4710148.15989358,UPO @ Marie Reed Elementary School,"2195 Champlain ST, NW ",CDC-102700,Full License,2023/06/28 04:00:00+00,2025/03/31 04:00:00+00,1,20009,Center Director,csalas@upo.org,(202) 238-4686,,,,Charmie Salas,,2018/09/17 04:00:00+00,2025/07/09 04:00:00+00,8,0,8,0,16,kanell.johnson@dc.gov,38.91949899,-77.04052472,396485.69,139070.63,2195 CHAMPLAIN STREET NW,316202,140116
-8569777.76061669,4702502.52667452,UPO @ Ketcham Elementary School,"1919 15th ST, SE ",CDC-102701,Restricted,2025/02/21 05:00:00+00,2025/05/22 04:00:00+00,8,20020,Center Director,swilliams@upo.org,(202) 610-5872,,,,Shirleeta Williams,,2019/01/22 05:00:00+00,2023/12/07 05:00:00+00,16,0,16,0,32,jazmin.hunt@dc.gov,38.86604269,-76.98362116,401421.44,133135.87,1919 15TH STREET SE,286537,140117
-8570547.48080171,4706144.75971272,AppleTree Early Learning Public Charter School - Lincoln Park,"138 12th ST, NE ",CDC-102705,Full License,2023/05/08 04:00:00+00,2025/05/31 04:00:00+00,6,20002,Other,devon.tucker@appletreeinstitute.org,(202) 621-6581,,,,Devon Tucker,Compliance Specialist,2011/10/14 04:00:00+00,2024/03/21 04:00:00+00,0,47,0,0,47,kanell.johnson@dc.gov,38.89151343,-76.99053567,400821.07,135963.23,138 12TH STREET NE,65489,140118
-8575724.30289093,4711865.31034098,Prep Enrichment Center,"1604 Park RD, NW ",CDC-102706,Full License,2022/09/12 04:00:00+00,2025/06/30 04:00:00+00,1,20010,Other,info@prepenrichmentcenter.com,(202) 506-4394,,,,Naimah   Simkins,Owner,2019/02/27 05:00:00+00,2023/08/02 04:00:00+00,16,7,11,0,34,kanell.johnson@dc.gov,38.93149974,-77.03703984,396788.44,140402.65,1604 PARK ROAD NW,233550,140119
-8580437.48541628,4714512.61800813,Two Birds Tenleytown,"4001 Brandywine ST,  NW ",CDC-102707,Full License,2022/04/28 04:00:00+00,2025/04/30 04:00:00+00,3,20016,Center Director, tenleytown@twobirdsinc.com,(202) 627-2142,,,,Carol Reynolds,,2019/04/04 04:00:00+00,2024/08/22 04:00:00+00,23,39,31,0,93,jazmin.hunt@dc.gov,38.94999665,-77.07937906,393119.18,142458.31,4001 BRANDYWINE STREET NW,265171,140120
-8564948.11794189,4703070.79578272,Rocketship  Legacy Prep,"4250 Massachusetts AVE, SE ",CDC-102723,Full License,2024/07/08 04:00:00+00,2026/08/31 04:00:00+00,7,20019,Other,rhustedt@rsed.org,(402) 310-9586,,,,Rachel Hustedt,Extended Learning Compliance Specialist,2018/01/19 05:00:00+00,2024/10/22 04:00:00+00,0,48,0,102,150,ronica.milledge1@dc.gov,38.87001696,-76.94023576,405186.36,133578.65,4250 MASSACHUSETTS AVENUE SE,278515,140121
-8573203.59922876,4706404.25173135,"Department of Labor CDC / KinderCare Education,  LLC","200 Constitution AVE, NW ",CDC-102727,Full License,2024/04/15 04:00:00+00,2025/07/31 04:00:00+00,6,20210,Center Director,drush@kindercare.com,(202) 693-7979,,,,Donneeka Rush,,2019/04/23 04:00:00+00,2023/09/28 04:00:00+00,24,12,76,12,124,kimberly.handon-lindsey@dc.gov,38.89332775,-77.01439598,398751.12,136164.69,200 CONSTITUTION AVENUE NW,291712,140122
-8574968.93758925,4710520.78182122,Creative Minds Child Care,"1308 Cliffton ST, NW ",CDC-102728,Full License,2022/09/08 04:00:00+00,2025/08/31 04:00:00+00,1,20009,Owner/Director,childcare@creativemindscc.com,(202) 599-3411,,,,Amsale Tesfaye,,2019/05/10 04:00:00+00,2024/07/17 04:00:00+00,23,10,9,0,42,Zulieka.Crawford@dc.gov,38.92210359,-77.03025428,397376.44,139359.38,1308 CLIFTON STREET NW,232076,140123
-8574053.46065054,4704334.03759424,"Taylored Education, LLC /DBA The Goddard School","910 7th ST, SW ",CDC-102729,Full License,2023/09/01 04:00:00+00,2025/07/31 04:00:00+00,6,20024,Center Director,dwashingtondc@goddardschools.com,(202) 318-1818,,,,Drianita Bristol,,2019/05/10 04:00:00+00,2024/07/30 04:00:00+00,0,48,48,0,96,kanell.johnson@dc.gov,38.87885156,-77.02203042,398088.43,134557.89,910 7TH STREET SW,319664,140124
-8576339.67941161,4706946.06109144,US Kids Child Development Center,"1800 F ST, NW ",CDC-102731,Full License,2022/08/29 04:00:00+00,2025/08/31 04:00:00+00,2,20405,Center Director,Debbie@uskidsdc.org,(202) 233-4623,,,,Debbie Reynolds,,2021/02/17 05:00:00+00,2024/04/22 04:00:00+00,13,16,38,0,67,kanell.johnson@dc.gov,38.89711584,-77.04256786,396307.35,136585.96,1800 F STREET NW,291709,140125
-8574399.48643518,4714229.26805769,Narbear Child Development Home Daycare,"4725 9th ST, NW ",CDH-102742,Full License,2024/02/22 05:00:00+00,2027/02/28 05:00:00+00,4,20011,Home Provider,narbear4725@icloud.com,(240) 779-7959,,,,Jennifer Bonilla,,2018/05/03 04:00:00+00,2023/09/21 04:00:00+00,2,2,2,0,6,Makia.Tabourn@dc.gov,38.94801709,-77.02513881,397820.83,142235.87,4725 9TH STREET NW,252193,140126
-8573087.24664132,4708128.1680929,Kidz Care Unlimited Child Development Center,"128 M ST, NW Suite 150 & 300",CDC-102750,Full License,2022/10/31 04:00:00+00,2025/10/31 04:00:00+00,6,20001,Owner/Director,lwilson@kidzcareunlimited.com,(202) 525-5140,,,,La'Shawn E. Wilson,,2019/08/19 04:00:00+00,2023/12/11 05:00:00+00,16,26,48,10,100,Zulieka.Crawford@dc.gov,38.90537989,-77.01335077,398841.99,137502.56,128 M STREET NW,279016,140127
-8580265.29424478,4713585.65679232,"Broadcasters' Child Development Center, Inc.","4200 Wisconsin AVE, NW Suite LL",CDC-102751,Full License,2022/09/30 04:00:00+00,2025/09/30 04:00:00+00,3,20016,Other,kim@bcdconline.org,(202) 846-7672,,,,Kimberly Mohler,Executive Director,2019/09/20 04:00:00+00,2024/08/27 04:00:00+00,32,19,70,0,121,stephanie.tindal@dc.gov,38.94352013,-77.07783225,393252.65,141739.28,4200 WISCONSIN AVENUE NW,222979,140128
-8569344.68042569,4711854.06495806,Woodbridge Day Care Center V,"3302 18th ST, NE ",CDC-102752,Full License,2023/10/04 04:00:00+00,2026/09/30 04:00:00+00,5,20018,Center Director,woodbridgevdirector@gmail.com,(202) 248-4316,,,,Mia Lewis,,2013/06/07 04:00:00+00,2024/05/01 04:00:00+00,8,24,6,0,38,stephanie.tindal@dc.gov,38.93142116,-76.97973073,401757.46,140393.47,3302 18TH STREET NE,36977,140129
-8563362.03352862,4705102.54867601,UPO @ C. W. Harris Elementary School,"301 53rd ST, SE ",CDC-102753,Full License,2022/10/31 04:00:00+00,2025/10/31 04:00:00+00,7,20019,Center Director,juwright@upo.org,(202) 575-9394,,,,Juliet Wright-Fuller,,2019/09/12 04:00:00+00,2024/01/29 05:00:00+00,8,0,8,0,16,Zulieka.Crawford@dc.gov,38.88422567,-76.92598772,406421.53,135156.83,301 53RD STREET SE,289801,140130
-8569353.23721676,4713866.53270815,KittyFlo Learning Academy/Renessa L. Copeland,"1740 Allison ST, NE ",CDX-102758,Full License,2024/11/07 05:00:00+00,2026/08/31 04:00:00+00,5,20017,Home Provider,nessa0987@hotmail.com,(202) 455-8618,,,,Renessa L. Copeland,,2019/10/31 04:00:00+00,2024/11/13 05:00:00+00,4,2,3,0,9,jazmin.hunt@dc.gov,38.94548252,-76.9798076,401750.45,141954.44,1740 ALLISON STREET NE,56590,140131
-8574935.45560038,4710040.86451932,YMCA @ Meridian Public School,"2120 13th ST, NW ",CDC-102759,Full License,2025/02/04 05:00:00+00,2027/05/31 04:00:00+00,1,20009,Center Director,dana.noble@ymcadc.org,(202) 232-6936,,,,Dana Noble,,2019/08/29 04:00:00+00,2024/09/10 04:00:00+00,0,48,0,52,100,kanell.johnson@dc.gov,38.91874942,-77.02995351,397402.4,138987.03,2120 13TH STREET NW,310205,140132
-8572115.20344326,4697671.19199743,Khadijah's Little Angels Daycare,"126 Yuma ST,  SE ",CDX-102762,Full License,2023/06/30 04:00:00+00,2026/06/30 04:00:00+00,8,20032,Home Provider,khadijah.angels@icloud.com,(202) 425-8511,,,,Winifred Thomas,,2018/06/08 04:00:00+00,2024/09/30 04:00:00+00,4,3,2,0,9,stephanie.tindal@dc.gov,38.83224196,-77.00461876,399598.97,129383.67,126 YUMA STREET SE,69417,140133
-8574373.35575592,4715135.75903723,Edna De Leon Lopez / Peaceful Play Bilingual CDX,"823 Ingraham ST,  NW ",CDX-102763,Full License,2023/05/17 04:00:00+00,2026/03/31 04:00:00+00,4,20011,Home Provider,lizlopez-10@hotmail.com,(202) 769-7622,,,,Edna De Leon Lopez,,2019/11/07 05:00:00+00,2024/01/11 05:00:00+00,2,2,5,0,9,kimberly.handon-lindsey@dc.gov,38.95434987,-77.02490408,397841.37,142938.86,823 INGRAHAM STREET NW,254684,140134
-8570493.33552522,4702205.58332709,Bethel Christian Fellowship CDC Infant Center,"2224 Martin Luther King Jr.  Ave., SE ",CDC-102764,Full License,2024/03/07 05:00:00+00,2027/02/28 05:00:00+00,8,20020,Center Director,bcfcdc@gmail.com,(202) 678-8934,,,,Wanda Edwards,,2018/09/04 04:00:00+00,2023/12/27 05:00:00+00,4,0,4,0,8,kimberly.handon-lindsey@dc.gov,38.86396572,-76.99004928,400863.6,132905.23,2224 MARTIN LUTHER KING JR AVENUE SE,309642,140135
-8572916.39918309,4716690.99074537,2 New Heights  Child Development Center,"6207 Blair RD, NW ",CDC-102765,Full License,2023/02/27 05:00:00+00,2026/02/28 05:00:00+00,4,20011,Other,dr.battle@2newheightscdc.com,(202) 726-1999,,,,Ernesta Gibbs Battle,Owner,2020/07/21 04:00:00+00,2024/03/14 04:00:00+00,24,33,32,9,98,candia.faison@dc.gov,38.96521345,-77.01181602,398975.97,144144.59,6207 BLAIR ROAD NW,245585,140136
-8565069.37295211,4706066.09921653,Rising Stars Early Learning  Center,"4212 East Capitol ST, NE ",CDC-102766,Full License,2023/12/22 05:00:00+00,2026/09/30 04:00:00+00,7,20019,Owner/Director,info@dcrisingstars.com,(301) 456-9025,,,,Keyanna Coward-Morant,,2020/08/27 04:00:00+00,2024/11/19 05:00:00+00,8,12,8,0,28,ronica.milledge1@dc.gov,38.89096344,-76.94132501,405090.34,135903.77,4212 EAST CAPITOL STREET NE,305753,140137
-8571496.26638491,4708261.67841802,First Choice Day Care,"511 Florida  AVE, NE ",CDX-102767,Full License,2023/03/30 04:00:00+00,2026/03/31 04:00:00+00,6,20002,Home Provider,hewan@firstchoicedaycaredc.com,(202) 733-2954,,,,Hewan Amare Mengistu,,2020/01/28 05:00:00+00,2025/03/10 04:00:00+00,3,3,3,0,9,kanell.johnson@dc.gov,38.90631319,-76.99905876,400081.64,137606.08,511 FLORIDA AVENUE NE,13317,140138
-8575866.06231524,4710958.90119419,Mesac Child Development Center,"1646 Columbia RD, NW ",CDC-102771,Full License,2023/09/11 04:00:00+00,2026/08/31 04:00:00+00,1,20009,Owner/Director,mesaccdc@gmail.com,(202) 631-9515,,,,Maria Del Carmen Cabieses,,2021/12/01 05:00:00+00,2024/06/06 04:00:00+00,8,12,16,0,36,Zulieka.Crawford@dc.gov,38.9251655,-77.03831329,396677.73,139699.54,1646 COLUMBIA ROAD NW,235891,140139
-8569595.15266448,4702580.21980382,"Little Emotions Child Development Center, LLC","1922 16th ST, SE ",CDH-102772,Full License,2024/04/19 04:00:00+00,2027/04/30 04:00:00+00,8,20020,Home Provider,littleemotionscdc@gmail.com,(202) 749-0705,,,,Zecketia Coleman,,2020/02/03 05:00:00+00,2024/03/27 04:00:00+00,2,0,4,0,6,Zulieka.Crawford@dc.gov,38.86658611,-76.98198077,401563.79,133196.22,1922 16TH STREET SE,53786,140140
-8570782.90643,4715383.83961447,Tyraee Carter / The Carter's Heaven Arms,"921  Jefferson ST, NE ",CDH-102773,Restricted,2025/02/21 05:00:00+00,2025/05/22 04:00:00+00,5,20011,Home Provider,ctyraee@yahoo.com,(202) 413-8098,,,,Tyraee Carter,,2020/03/04 05:00:00+00,2022/10/05 04:00:00+00,1,1,2,0,4,jazmin.hunt@dc.gov,38.95608287,-76.99265053,400637.02,143130.97,921 JEFFERSON STREET NE,82557,140141
-8573977.72215807,4715709.53412601,Growing Minds Together,"538 Madison ST, NW ",CDX-102775,Full License,2023/08/16 04:00:00+00,2026/08/31 04:00:00+00,4,20011,Home Provider,growingmindstogether@gmail.com,(202) 820-2940,,,,Rosmery Martinez Nix,,2020/03/10 04:00:00+00,2024/01/22 05:00:00+00,4,1,4,0,9,jazmin.hunt@dc.gov,38.95835799,-77.02135004,398149.53,143383.72,538 MADISON STREET NW,246656,140142
-8564048.63666197,4708566.63775345,"KU Kids Deanwood, LLC","1350 49th ST, NE ",CDC-102776,Full License,2024/09/09 04:00:00+00,2026/09/30 04:00:00+00,7,20019,Center Director,info@kiddieuniversity.com,(202) 975-1061,,,,Cassandra Nelson,,2021/08/25 04:00:00+00,2023/10/18 04:00:00+00,16,16,44,0,76,ronica.milledge1@dc.gov,38.90844496,-76.93215558,405884.39,137844.91,1350 49TH STREET NE,307551,140143
-8569506.55935932,4711129.21754179,Bellas Artes Child Creativity Center,"1613  Rhode Island AVE, NE ",CDC-102778,Full License,2023/10/30 04:00:00+00,2026/10/31 04:00:00+00,5,20018,Owner/Director,bellas.artesccc@gmail.com,(202) 758-0395,,,,Mitzi Jamileth Rodriguez Galvez,,2020/06/25 04:00:00+00,2024/08/27 04:00:00+00,6,0,24,0,30,ronica.milledge1@dc.gov,38.92635576,-76.98118492,401631.49,139831.14,1613 RHODE ISLAND AVENUE NE,59813,140144
-8577652.11791491,4707977.78499505,Learning Leaf Childcare Center,"2555 Pennsylvania  AVE, NW ",CDC-102779,Full License,2024/04/24 04:00:00+00,2026/12/31 05:00:00+00,2,20037,Center Director,lyhaynes913@aol.com,(202) 857-1900,,,,Lynnette  Haynes,,2020/07/13 04:00:00+00,2023/08/02 04:00:00+00,16,16,20,0,52,jazmin.hunt@dc.gov,38.90432862,-77.05435769,395285.09,137387.18,2555 PENNSYLVANIA AVENUE NW,274805,140145
-8573705.50399451,4706512.54323898,DC Superior Court Child Care Center,"500 Indiana AVE, NW   # C-100 ",CDC-102780,Full License,2024/03/26 04:00:00+00,2027/03/31 04:00:00+00,6,20001,Center Director,DorothyAnn.Coleman@dcsc.gov,(202) 879-1684,,,,Dorothy Ann Coleman,,2020/05/13 04:00:00+00,2024/12/06 05:00:00+00,0,8,4,4,16,ronica.milledge1@dc.gov,38.89408489,-77.01890467,398360,136248.81,500 INDIANA AVENUE NW,285553,140146
-8568986.79026042,4700268.00164991,Khadijah Thomas/Ngegha Beginner Child Care,"1890 Alabama AVE, SE ",CDX-102781,Full License,2024/02/01 05:00:00+00,2026/09/30 04:00:00+00,8,20020,Home Provider,khathomas@yahoo.com,(202) 375-8623,,,,Khadijah Thomas,,2019/10/15 04:00:00+00,2024/09/23 04:00:00+00,6,1,1,0,8,ronica.milledge1@dc.gov,38.85041144,-76.97651576,402038.53,131400.86,1890 ALABAMA AVENUE SE,299075,140147
-8579853.47519514,4712431.26277214,Communikids Preschool LLC VI,"3400 Idaho AVE, NW 100A",CDC-102785,Full License,2024/03/05 05:00:00+00,2026/09/30 04:00:00+00,3,20016,Owner/Director,Jeannine@communikids.com,(202) 768-7900,,,,Jeannine Piacenza,,2023/11/16 05:00:00+00,2023/08/21 04:00:00+00,0,0,60,0,60,Zulieka.Crawford@dc.gov,38.93545449,-77.07413281,393572.63,140843.62,3400 IDAHO AVENUE NW,284650,140148
-8568629.7105925,4701376.83431703,Independent  Church Of God Child Development Center,"2302 Ainger PL,  SE ",CDC-102788,Full License,2024/12/27 05:00:00+00,2027/08/31 04:00:00+00,8,20020,Owner/Director,terezeking@hotmail.com,(240) 510-6846,,,,Tereze King,,2020/04/27 04:00:00+00,2024/05/02 04:00:00+00,8,16,20,6,50,kimberly.handon-lindsey@dc.gov,38.8581687,-76.97330806,402316.72,132262.01,2302 AINGER PLACE SE,286787,140149
-8571705.21528836,4710201.86824612,Emergent Preparatory Academy III,"330 Rhode Island AVE, NE ",CDC-102791,Full License,2024/10/02 04:00:00+00,2026/12/31 05:00:00+00,5,20002,Owner/Director,deloresmcgee.emergent@gmail.com,(202) 729-9617,,,,Delores McGee,,2020/11/06 05:00:00+00,2024/09/11 04:00:00+00,8,17,25,0,50,Zulieka.Crawford@dc.gov,38.9198747,-77.00093577,399918.85,139111.52,330 RHODE ISLAND AVENUE NE,155946,140150
-8576830.27694334,4707810.580871,CentroNia @ Stevens Early Learning Center,"1050 21st ST, NW ",CDC-102792,Full License,2024/06/20 04:00:00+00,2027/03/31 04:00:00+00,2,20036,Owner/Director,qjamison@centronia.org,(202) 442-5566,,,,Quianna Jamison,,2021/02/12 05:00:00+00,2024/05/06 04:00:00+00,8,0,28,0,36,kanell.johnson@dc.gov,38.90315941,-77.04697497,395925.39,137257.07,1050 21ST STREET NW,294506,140151
-8564440.56519884,4706431.47999185,Winters Wonderland  Early Child Care,"4623 Clay ST, NE ",CDX-102793,Full License,2024/06/10 04:00:00+00,2027/04/30 04:00:00+00,7,20019,Owner/Director,winterswonderland4623@gmail.com,(202) 790-4347,,,,Stacey Maria Hudson,,2021/03/11 05:00:00+00,2024/01/24 05:00:00+00,3,4,2,0,9,Makia.Tabourn@dc.gov,38.89351812,-76.93567633,405580.19,136187.69,4623 CLAY STREET NE,18987,140152
-8567768.73007848,4703316.7376853,House of Ruth's Kidspace Child and Family Development Center,"2910 Pennsylvania AVE, SE ",CDC-102794,Full License,2024/02/01 05:00:00+00,2027/02/28 05:00:00+00,7,20020,Center Director,tvillanueva@houseofruth.org,(202) 667-7001 x222,,,,Tara Villanueva,,2021/01/27 05:00:00+00,2024/09/30 04:00:00+00,6,32,28,0,66,stephanie.tindal@dc.gov,38.87173706,-76.96557374,402987.45,133768.46,2910 PENNSYLVANIA AVENUE SE,43433,140153
-8577373.46369214,4708287.66153902,Capital Kids DC,"1250 24th ST, NW ",CDC-102796,Full License,2024/05/30 04:00:00+00,2027/05/31 04:00:00+00,2,20037,Owner/Director,sulfyna@gmail.com,(202) 293-1460,,,,Sulfyna Murji,,2021/03/24 04:00:00+00,2024/01/31 05:00:00+00,15,17,30,0,62,yesset.makonnen@dc.gov,38.90649483,-77.0518545,395502.35,137627.52,1250 24TH STREET NW,273946,140154
-8571463.59097178,4714909.86733713,Love and Care Child Development Center,"402 Galloway ST, NE ",CDC-102801,Full License,2024/04/15 04:00:00+00,2027/04/30 04:00:00+00,5,20011,Center Director,Brittany.Ford@loveandcarecdc.com,(202) 652-1057,,,,Brittany Ford,,2021/03/09 05:00:00+00,2023/09/06 04:00:00+00,22,20,48,0,90,stephanie.tindal@dc.gov,38.9527715,-76.99876522,400107.03,142763.39,402 GALLOWAY STREET NE,314546,140155
-8572706.81768912,4716648.9581174,Friendship Public Charter School @ Ideal,"6130 North Capital Street, NW ",CDC-102802,Full License,2024/11/15 05:00:00+00,2027/10/31 04:00:00+00,4,20011,Center Director,ACampbell@friendshipschools.org,(202) 409-1753,,,,Jackson Campbell,,2019/08/05 04:00:00+00,2024/05/28 04:00:00+00,0,24,0,76,100,Zulieka.Crawford@dc.gov,38.96491986,-77.00993332,399139.13,144111.98,6130 NORTH CAPITOL STREET NW,285311,140156
-8571889.67757964,4715145.05825611,Rocketship Infinity Community Prep,"5450 3rd ST, NE ",CDC-102803,Full License,2024/11/22 05:00:00+00,2027/07/31 04:00:00+00,5,20011,Other,rhustedt@rsed.org,(402) 310-9586,,,,Rachel Hustedt,Extended Learning Compliance Specialist,2021/06/21 04:00:00+00,,0,24,0,85,109,ronica.milledge1@dc.gov,38.95441483,-77.00259282,399775.26,142945.78,5450 3RD STREET NE,150991,140157
-8561735.07883485,4706505.13216874,Discovery Learning Academy,"356 Eastern Avenue, NE ",CDC-102804,Full License,2024/07/24 04:00:00+00,2027/05/31 04:00:00+00,7,20019,Owner/Director,dnltysn@gmail.com,(202) 559-8090,,,,Daniel Tyson,,2021/01/28 05:00:00+00,2024/04/24 04:00:00+00,8,20,20,0,48,candia.faison@dc.gov,38.89403307,-76.91137254,407688.53,136246.62,356 EASTERN AVENUE NE,33218,140158
-8576056.87378317,4710765.3544275,Jubilee Jumpstart,"2525 Ontario RD, NW ",CDC-909779,Full License,2024/08/22 04:00:00+00,2026/11/30 05:00:00+00,1,20009,Center Director,Rburgosgil@jubileejumpstart.org,(202) 506-4607,,,,Rosalina Burgos Gil,,2012/11/29 05:00:00+00,2024/11/26 05:00:00+00,16,18,16,0,50,candia.faison@dc.gov,38.92381287,-77.04002737,396529.03,139549.45,2525 ONTARIO ROAD NW,235734,140159
-8573678.50601167,4711558.04928404,Woodbridge Day Care Center III,"424 Irving ST, NW ",CDC-909781,Full License,2024/05/08 04:00:00+00,2027/04/30 04:00:00+00,1,20010,Owner/Director,woodbridgeiiidirector@gmail.com,(202) 882-1740,,,,Orpel Sanders,,2013/05/31 04:00:00+00,2024/02/08 05:00:00+00,6,13,8,0,27,stephanie.tindal@dc.gov,38.92935258,-77.01866214,398381.84,140163.81,424 IRVING STREET NW,229365,140160
-8571322.48604024,4710777.84226337,UPO @ Edgewood Child Development Center,"601 Edgewood ST, NE ",CDC-909804,Full License,2024/05/06 04:00:00+00,2027/04/30 04:00:00+00,5,20017,Center Director,lsampson@upo.org,(202) 529-1582,,,,Laura Sampson,,2009/08/17 04:00:00+00,2024/02/27 05:00:00+00,8,8,16,0,32,ronica.milledge1@dc.gov,38.92390014,-76.99749766,400216.99,139558.38,601 EDGEWOOD STREET NE,289571,140161
-8575546.50895733,4711427.95480302,Barbara Chambers Children's Center,"1470 Irving ST, NW ",CDC-909808,Full License,2023/08/01 04:00:00+00,2026/07/31 04:00:00+00,1,20010,Other,info@barbarachambers.org,(202) 387-6755 x116,,,,Maribel Torres,Executive Director,2017/12/22 05:00:00+00,2024/03/12 04:00:00+00,28,160,24,30,242,jazmin.hunt@dc.gov,38.92844345,-77.03544269,396926.79,140063.32,1470 IRVING STREET NW,284044,140162
-8574739.86466657,4715337.32290278,Bright Start Childcare & Preschool,"5416 Georgia AVE, NW ",CDC-909811,Full License,2024/01/24 05:00:00+00,2026/11/30 05:00:00+00,4,20011,Owner/Director,brightstartcares@gmail.com,(202) 722-2273,,,,Marcia St. Hilaire-Finn,,2015/07/22 04:00:00+00,2024/01/18 05:00:00+00,8,30,38,0,76,kanell.johnson@dc.gov,38.95575759,-77.02819648,397556.04,143095.25,5416 GEORGIA AVENUE NW,253065,140163
-8569105.0675595,4713859.80853665,YMCA Calomiris II,"1918 Allison ST, NE ",CDC-909813,Full License,2024/02/07 05:00:00+00,2026/09/30 04:00:00+00,5,20018,Center Director,csking@ymcadc.org,(202) 526-4089,,,,Andrea Brown,,1999/02/02 05:00:00+00,2025/02/04 05:00:00+00,0,0,0,44,44,candia.faison@dc.gov,38.94543587,-76.97757825,401943.71,141949.27,1918 ALLISON STREET NE,310297,140164
-8568434.0621425,4699869.06215507,Kids Are People Too III,"2275  Savannah ST, SE ",CDC-909818,Temporary Closure,2024/02/02 05:00:00+00,2024/05/01 04:00:00+00,8,20020,Center Director,kidsarepeopletoocdc@gmail.com,(202) 450-3496,,,,Kala Taylor,,2018/08/15 04:00:00+00,2021/10/18 04:00:00+00,0,0,36,0,36,jazmin.hunt@dc.gov,38.84762076,-76.97155052,402469.63,131091.16,2275 SAVANNAH STREET SE,278134,140165
-8573962.75297768,4715404.74573278,Mana Bilingual Child Development Center,"604  Kennedy ST, NW ",CDC-909819,Full License,2023/09/29 04:00:00+00,2026/09/30 04:00:00+00,4,20011,Center Director,manacdc1@gmail.com,(202) 829-0309,,,,Grosbin Gerardo Rodriguez Galvez,,2009/12/10 05:00:00+00,2024/11/19 05:00:00+00,4,10,6,0,20,kimberly.handon-lindsey@dc.gov,38.95622891,-77.02121557,398161.13,143147.37,604 KENNEDY STREET NW,246782,140166
